Date;Dernier;Premier;Plus Haut;Plus Bas;Volume;Capitaux
11/06/2019;164.95;164.95;164.95;164.95;600;98 970
19/06/2019;163.80;158.05;163.80;158.05;931;148 870
21/06/2019;163.50;163.50;163.50;163.50;500;81 750
27/06/2019;163.50;159.10;163.50;159.05;249;40 614
28/06/2019;168.00;159.05;168.00;159.05;589;98 155
02/07/2019;160.50;160.50;160.50;160.50;26;4 173
05/07/2019;167.80;167.80;167.80;167.80;200;33 560
08/07/2019;160.10;160.10;160.10;160.10;40;6 404
11/07/2019;168.00;168.00;168.00;168.00;39;6 552
12/07/2019;168.00;168.00;168.00;168.00;60;10 080
15/07/2019;169.00;173.00;173.00;162.25;9;1 542
19/07/2019;171.50;168.00;171.50;168.00;110;18 830
22/07/2019;178.00;178.00;178.00;178.00;2;356
06/08/2019;164.00;164.00;164.00;164.00;37;6 068
07/08/2019;164.00;164.00;164.00;164.00;13;2 132
16/08/2019;161.00;165.00;165.00;161.00;35;5 755
19/08/2019;161.00;160.05;161.00;160.00;43;6 884
22/08/2019;161.00;161.00;161.00;161.00;3;483
23/08/2019;166.00;166.00;166.00;166.00;20;3 320
26/08/2019;159.00;159.00;159.00;159.00;4;636
27/08/2019;157.00;157.00;157.00;157.00;10 000;1 570 000
29/08/2019;157.00;157.10;157.10;157.00;30;4 711
30/08/2019;158.00;157.10;158.00;157.00;676;106 149
02/09/2019;157.60;157.60;157.60;157.60;24;3 782
05/09/2019;157.60;157.60;157.60;157.60;3;473
06/09/2019;165.00;165.00;165.00;165.00;50;8 250
10/09/2019;156.55;156.55;156.55;156.55;30;4 697
13/09/2019;165.00;157.00;165.00;157.00;103;16 971
16/09/2019;157.20;157.20;157.20;157.20;8;1 258
18/09/2019;157.65;157.65;157.65;157.65;1;158
20/09/2019;142.00;142.00;142.00;142.00;203;28 826
23/09/2019;156.00;156.00;156.00;156.00;20;3 120
24/09/2019;145.05;145.05;145.05;145.05;9;1 305
27/09/2019;159.55;155.00;159.55;155.00;5 083;808 310
30/09/2019;155.55;160.00;163.00;155.55;2 126;338 511
01/10/2019;155.05;155.05;155.05;155.05;100;15 505
03/10/2019;153.50;155.00;155.00;153.50;20;3 078
04/10/2019;160.00;160.00;160.00;160.00;1 830;292 800
07/10/2019;155.30;155.30;155.30;155.30;148;11 492
09/10/2019;160.00;159.85;160.00;159.85;1 060;84 796
11/10/2019;160.00;160.00;160.00;160.00;200;16 000
14/10/2019;159.00;160.00;160.00;159.00;99;15 760
15/10/2019;155.25;155.25;155.25;155.25;8;621
17/10/2019;155.00;155.45;155.45;155.00;6 600;1 023 126
18/10/2019;160.00;160.00;160.00;160.00;1 100;176 000
24/10/2019;155.60;155.65;155.65;155.60;25;3 891
25/10/2019;159.00;159.00;159.00;159.00;300;47 700
30/10/2019;155.80;155.80;155.80;155.80;60;9 348
31/10/2019;155.80;155.80;155.80;155.80;104;16 203
01/11/2019;160.00;160.00;160.00;160.00;500;80 000
07/11/2019;155.70;156.00;156.00;155.70;252;39 269
08/11/2019;155.00;155.00;155.00;155.00;4 413;684 015
13/11/2019;155.00;155.00;155.00;155.00;4 728;732 840
14/11/2019;160.00;160.00;160.00;160.00;100;16 000
20/11/2019;155.60;155.05;155.60;155.05;440;43 502
21/11/2019;156.00;156.00;156.00;156.00;52;4 056
22/11/2019;159.80;159.80;159.80;159.80;400;31 960
25/11/2019;160.00;159.85;160.00;159.85;754;120 635
26/11/2019;158.00;158.00;158.00;158.00;100;15 800
28/11/2019;164.95;162.50;164.95;162.50;177;29 097
29/11/2019;164.90;160.05;164.90;160.00;600;98 451
05/12/2019;159.00;160.00;160.00;159.00;225;35 980
06/12/2019;160.00;157.00;160.00;155.00;1 024;159 987
09/12/2019;155.05;156.00;156.00;155.05;255;39 543
11/12/2019;169.90;159.90;169.90;159.90;1 365;225 029
12/12/2019;169.70;169.60;169.70;169.60;480;81 438
13/12/2019;169.50;165.00;169.50;165.00;1 810;302 296
16/12/2019;171.00;169.00;171.00;167.00;1 125;189 621
17/12/2019;169.00;170.90;171.85;169.00;753;128 354
18/12/2019;172.45;169.00;172.45;169.00;537;91 049
20/12/2019;164.05;168.00;168.00;164.05;7 019;1 156 677
23/12/2019;168.00;165.00;172.00;165.00;2 520;428 661
